Ni_frac,Fe_frac,Co_frac,Cu_frac,Mo_frac,Mn_frac,Cr_frac,V_frac
0.0,0.012,0.4,0.588,0.0,0.0,0.0,0.0
0.0,0.012,0.413,0.575,0.0,0.0,0.0,0.0
0.0,0.012,0.425,0.562,0.0,0.0,0.0,0.0
0.0,0.012,0.438,0.55,0.0,0.0,0.0,0.0
0.0,0.012,0.45,0.538,0.0,0.0,0.0,0.0
0.0,0.012,0.462,0.525,0.0,0.0,0.0,0.0
0.0,0.012,0.475,0.512,0.0,0.0,0.0,0.0
0.0,0.012,0.488,0.5,0.0,0.0,0.0,0.0
0.0,0.012,0.5,0.488,0.0,0.0,0.0,0.0
0.0,0.012,0.513,0.475,0.0,0.0,0.0,0.0
0.0,0.012,0.525,0.462,0.0,0.0,0.0,0.0
0.0,0.012,0.538,0.45,0.0,0.0,0.0,0.0
0.0,0.012,0.55,0.438,0.0,0.0,0.0,0.0
0.0,0.012,0.562,0.425,0.0,0.0,0.0,0.0
0.0,0.012,0.575,0.412,0.0,0.0,0.0,0.0
0.0,0.012,0.588,0.4,0.0,0.0,0.0,0.0
0.0,0.012,0.6,0.387,0.0,0.0,0.0,0.0
0.0,0.012,0.612,0.375,0.0,0.0,0.0,0.0
0.0,0.012,0.625,0.363,0.0,0.0,0.0,0.0
0.0,0.012,0.638,0.35,0.0,0.0,0.0,0.0
0.0,0.012,0.65,0.338,0.0,0.0,0.0,0.0
0.0,0.012,0.663,0.325,0.0,0.0,0.0,0.0
0.0,0.012,0.675,0.312,0.0,0.0,0.0,0.0
0.0,0.012,0.688,0.3,0.0,0.0,0.0,0.0
0.0,0.012,0.7,0.288,0.0,0.0,0.0,0.0
